time,first_name,trained_10_week,trained_im,has_trainer,Age,VO2 Max,BMI,n Marathons run,Cadence,is_male,in_club
226.0,Madge,0,3,0,36.0,12.71832328554809,,0.0,163.0,False,False
206.66666666666666,Vaida,3,5,0,30.0,12.71832328554809,19.05,0.0,157.0,False,False
206.61666666666667,Melissa,5,6,0,38.0,13.46,21.13,0.0,165.0,False,False
201.18333333333334,James,0,1,0,38.0,20.01,18.86,0.0,154.0,True,True
200.68333333333334,Cheryl,0,4,0,43.0,12.71832328554809,19.75,0.0,166.0,False,False
198.4,Joanne,5,5,0,42.0,21.03,19.73,0.0,167.0,False,False
198.4,Diane,5,5,0,32.0,14.47,22.0,0.0,155.0,False,False
198.38333333333333,Honor,2,7,0,41.0,20.72,19.35,0.0,157.0,False,False
198.38333333333333,Linda,0,0,0,33.0,12.71832328554809,20.11,0.0,157.0,False,False
198.36666666666667,Sky,4,5,0,37.0,12.18,18.19,0.0,165.0,False,False
198.35,Gemma,0,0,0,34.0,13.3,17.86,0.0,154.0,False,False
191.03333333333333,Christopher,2,2,0,37.0,11.84,19.05,0.0,157.0,True,False
191.03333333333333,Ryan,5,5,0,41.0,10.93,19.9,0.0,156.0,True,False
189.6,Michelle,6,6,0,39.0,15.61,21.69,0.0,159.0,False,False
189.6,Caroline,1,1,0,39.0,14.31,19.42,0.0,159.0,False,False
185.75,Sam,3,3,0,32.0,12.71832328554809,21.57,0.0,158.0,True,True
184.65,Anthony,0,4,0,43.0,11.69,18.94,0.0,158.0,True,False
184.63333333333333,Alistair,1,7,0,41.0,27.77,23.22,0.0,161.0,True,False
184.63333333333333,Abi,0,2,0,32.0,13.02,19.96,0.0,167.0,True,False
184.61666666666667,Jake,1,2,0,51.0,12.71832328554809,21.76,0.0,161.0,True,False
184.61666666666667,Ben,0,6,0,40.0,21.47,19.62,0.0,164.0,True,False
184.6,Albie,5,5,0,38.0,27.75,19.51,0.0,166.0,True,False
183.9,Angela,1,2,0,33.0,15.68,18.01,0.0,153.0,False,False
183.25,Ilar,0,1,0,30.0,14.06,20.78,0.0,166.0,True,False
181.11666666666667,Nelson,0,2,0,43.0,17.69,20.25,0.0,161.0,True,False
179.96666666666667,John,0,3,0,34.0,12.71832328554809,21.83,0.0,163.0,True,False
179.88333333333333,Laura,3,3,0,28.0,14.64,22.08,0.0,160.0,False,False
179.86666666666667,Paul,4,4,0,38.0,12.71832328554809,19.96,0.0,151.0,True,True
178.26666666666668,Joanne,0,2,0,40.0,25.11,20.38,0.0,164.0,False,False
177.63333333333333,Karina,5,5,0,44.0,18.71,22.9,0.0,160.0,False,False
177.08333333333334,John,1,5,0,36.0,12.71832328554809,21.34,0.0,,True,False
177.01666666666668,Kim-marina,2,2,0,33.0,12.71832328554809,20.94,0.0,164.0,True,False
176.96666666666667,Alex,2,2,0,50.0,25.59,20.6,0.0,162.0,True,False
176.83333333333334,Rachel,0,4,0,24.0,12.71832328554809,17.59,0.0,155.0,False,False
176.75,Angela,1,1,0,43.0,12.71832328554809,19.49,0.0,163.0,False,False
176.68333333333334,Moss,0,2,0,37.0,,22.18,0.0,165.0,True,False
175.86666666666667,Catharine,0,5,0,38.0,12.71832328554809,19.97,0.0,158.0,False,False
175.81666666666666,Mark,2,3,0,34.0,23.55,20.85,0.0,167.0,True,False
175.8,Anne,3,3,0,37.0,17.26,20.89,0.0,153.0,False,False
175.6,Ashanthie,1,4,0,39.0,36.65,20.68,0.0,156.0,True,False
175.6,Minolie,1,4,0,30.0,12.71832328554809,22.48,0.0,165.0,True,False
175.56666666666666,Paul,8,8,0,33.0,25.65,18.79,0.0,162.0,True,False
175.56666666666666,Vanessa,0,5,0,32.0,18.79,21.22,0.0,165.0,False,False
175.56666666666666,Jane,1,4,0,39.0,12.71832328554809,20.86,0.0,154.0,False,False
175.55,Mark,3,4,0,50.0,15.64,21.1,0.0,151.0,True,False
175.48333333333332,Sarah,0,3,0,33.0,16.35,18.97,0.0,174.0,False,True
174.45,Susan,3,3,0,38.0,14.42,21.78,0.0,160.0,False,False
174.38333333333333,Joanna,2,2,0,31.0,12.71832328554809,22.29,0.0,163.0,False,False
174.38333333333333,Alvin,0,3,0,32.0,18.44,19.47,0.0,153.0,True,False
174.25,Emma,3,3,0,41.0,32.84,20.49,0.0,153.0,False,False
173.9,Lisa,2,2,0,33.0,31.57,18.26,0.0,161.0,False,False
173.16666666666666,Craig,4,4,0,36.0,12.71832328554809,21.35,0.0,165.0,True,False
172.06666666666666,Sam,0,4,0,45.0,12.71832328554809,19.0,0.0,158.0,True,False
171.76666666666668,Seraphina,0,1,0,27.0,15.92,19.86,0.0,155.0,True,False
171.71666666666667,Anna,5,5,0,30.0,26.33,22.95,0.0,161.0,False,False
171.43333333333334,Zoe,0,3,0,34.0,11.13,19.75,0.0,154.0,False,False
170.88333333333333,Garry,2,4,0,38.0,10.72,19.1,0.0,159.0,True,False
170.26666666666668,Carol,0,7,0,29.0,,19.59,0.0,166.0,False,False
169.88333333333333,Joanna,5,5,0,36.0,29.24,20.07,0.0,157.0,False,True
169.48333333333332,Carol,0,1,0,31.0,23.11,22.41,0.0,156.0,False,False
169.45,Val,0,5,0,37.0,17.01,21.44,0.0,157.0,False,False
169.41666666666666,Roger,0,6,0,34.0,15.55,19.62,0.0,162.0,True,False
168.5,Katelyn,2,6,0,38.0,21.74,20.42,0.0,158.0,False,False
168.46666666666667,Kayleigh,2,3,0,35.0,11.01,21.24,0.0,154.0,False,False
168.45,Karen,3,3,0,31.0,25.44,22.19,0.0,170.0,False,False
168.43333333333334,Michael,2,5,0,39.0,22.03,19.82,0.0,159.0,True,False
168.38333333333333,Jane,0,3,0,27.0,12.71832328554809,20.03,0.0,164.0,False,False
168.3,Roger,4,4,0,31.0,12.71832328554809,16.68,0.0,165.0,True,False
168.25,Ben,4,4,0,35.0,15.54,20.47,0.0,166.0,True,False
168.03333333333333,Christina,0,4,0,41.0,16.69,18.77,0.0,155.0,False,False
167.93333333333334,Sarah,0,1,0,27.0,17.3,20.13,0.0,157.0,False,False
167.93333333333334,Mollie,0,2,0,32.0,12.71832328554809,19.67,0.0,156.0,False,False
167.75,Scott,0,3,0,36.0,12.71832328554809,19.8,0.0,158.0,True,False
167.63333333333333,Cara,0,2,0,38.0,12.71832328554809,19.17,0.0,162.0,False,False
167.4,Kathy,1,4,0,29.0,14.58,21.47,0.0,164.0,False,False
167.23333333333332,Nikki,0,1,0,41.0,12.71832328554809,20.43,0.0,160.0,False,False
